num_batches, batch_size, seq_len, is cuda, is half, use mask, pad percentage, Latency eager (ms), Latency BT (ms), Speedup (%), Mem eager (MB), Mem BT (MB), Mem saved (%)
10,1,128,True,True,False,0,8.496,15.149,-43.913,1353.591,1353.591,0.000
10,1,128,True,True,False,0.1,8.496,14.955,-43.187,1353.591,1353.591,0.000
10,1,128,True,True,False,0.2,8.496,14.924,-43.070,1353.591,1353.591,0.000
10,1,128,True,True,False,0.5,8.496,14.952,-43.176,1353.591,1353.591,0.000
10,1,128,True,True,False,0.75,8.496,14.987,-43.308,1353.591,1353.591,0.000
10,1,256,True,True,False,0,8.002,14.461,-44.664,1358.835,1356.738,0.155
10,1,256,True,True,False,0.1,8.002,14.416,-44.495,1358.835,1356.738,0.155
10,1,256,True,True,False,0.2,8.002,14.449,-44.621,1358.835,1356.738,0.155
10,1,256,True,True,False,0.5,8.002,14.415,-44.491,1358.835,1356.738,0.155
10,1,256,True,True,False,0.75,8.002,14.399,-44.427,1358.835,1356.738,0.155
10,1,512,True,True,False,0,8.693,14.418,-39.712,1376.140,1363.557,0.923
10,1,512,True,True,False,0.1,8.693,14.367,-39.497,1376.140,1363.557,0.923
10,1,512,True,True,False,0.2,8.693,14.363,-39.478,1376.140,1363.557,0.923
10,1,512,True,True,False,0.5,8.693,14.990,-42.009,1376.140,1363.557,0.923
10,1,512,True,True,False,0.75,8.693,14.344,-39.400,1376.140,1363.557,0.923
10,2,128,True,True,False,0,8.427,14.419,-41.557,1356.743,1356.743,0.000
10,2,128,True,True,False,0.1,8.427,14.428,-41.596,1356.743,1356.743,0.000
10,2,128,True,True,False,0.2,8.427,14.407,-41.511,1356.743,1356.743,0.000
10,2,128,True,True,False,0.5,8.427,14.466,-41.748,1356.743,1356.743,0.000
10,2,128,True,True,False,0.75,8.427,14.422,-41.569,1356.743,1356.743,0.000
10,2,256,True,True,False,0,8.178,14.338,-42.964,1367.758,1363.564,0.308
10,2,256,True,True,False,0.1,8.178,14.333,-42.944,1367.758,1363.564,0.308
10,2,256,True,True,False,0.2,8.178,14.360,-43.051,1367.758,1363.564,0.308
10,2,256,True,True,False,0.5,8.178,14.319,-42.886,1367.758,1363.564,0.308
10,2,256,True,True,False,0.75,8.178,14.343,-42.983,1367.758,1363.564,0.308
10,2,512,True,True,False,0,16.556,17.522,-5.513,1402.370,1377.204,1.827
10,2,512,True,True,False,0.1,16.556,17.571,-5.776,1402.370,1377.204,1.827
10,2,512,True,True,False,0.2,16.556,17.539,-5.605,1402.370,1377.204,1.827
10,2,512,True,True,False,0.5,16.556,17.572,-5.783,1402.370,1377.204,1.827
10,2,512,True,True,False,0.75,16.556,17.535,-5.585,1402.370,1377.204,1.827
10,4,128,True,True,False,0,8.122,14.375,-43.499,1363.572,1363.572,0.000
10,4,128,True,True,False,0.1,8.122,14.361,-43.447,1363.572,1363.572,0.000
10,4,128,True,True,False,0.2,8.122,14.335,-43.342,1363.572,1363.572,0.000
10,4,128,True,True,False,0.5,8.122,14.315,-43.263,1363.572,1363.572,0.000
10,4,128,True,True,False,0.75,8.122,14.346,-43.385,1363.572,1363.572,0.000
10,4,256,True,True,False,0,13.277,17.510,-24.173,1385.601,1377.212,0.609
10,4,256,True,True,False,0.1,13.277,17.581,-24.482,1385.601,1377.212,0.609
10,4,256,True,True,False,0.2,13.277,17.529,-24.254,1385.601,1377.212,0.609
10,4,256,True,True,False,0.5,13.277,17.547,-24.333,1385.601,1377.212,0.609
10,4,256,True,True,False,0.75,13.277,17.515,-24.197,1385.601,1377.212,0.609
10,4,512,True,True,False,0,31.376,24.434,28.412,1454.825,1404.494,3.584
10,4,512,True,True,False,0.1,31.376,24.448,28.336,1454.825,1404.494,3.584
10,4,512,True,True,False,0.2,31.376,24.460,28.276,1454.825,1404.494,3.584
10,4,512,True,True,False,0.5,31.376,24.395,28.618,1454.825,1404.494,3.584
10,4,512,True,True,False,0.75,31.376,24.333,28.946,1454.825,1404.494,3.584
10,8,128,True,True,False,0,11.618,17.542,-33.769,1377.229,1377.229,0.000
10,8,128,True,True,False,0.1,11.618,17.512,-33.657,1377.229,1377.229,0.000
10,8,128,True,True,False,0.2,11.618,17.521,-33.691,1377.229,1377.229,0.000
10,8,128,True,True,False,0.5,11.618,17.569,-33.871,1377.229,1377.229,0.000
10,8,128,True,True,False,0.75,11.618,17.544,-33.778,1377.229,1377.229,0.000
10,8,256,True,True,False,0,25.300,24.311,4.068,1421.287,1404.510,1.195
10,8,256,True,True,False,0.1,25.300,24.362,3.848,1421.287,1404.510,1.195
10,8,256,True,True,False,0.2,25.300,24.361,3.851,1421.287,1404.510,1.195
10,8,256,True,True,False,0.5,25.300,24.382,3.765,1421.287,1404.510,1.195
10,8,256,True,True,False,0.75,25.300,24.268,4.251,1421.287,1404.510,1.195
10,8,512,True,True,False,0,63.243,45.522,38.929,1559.736,1459.073,6.899
10,8,512,True,True,False,0.1,63.243,45.281,39.669,1559.736,1459.073,6.899
10,8,512,True,True,False,0.2,63.243,44.903,40.845,1559.736,1459.073,6.899
10,8,512,True,True,False,0.5,63.243,43.074,46.823,1559.736,1459.073,6.899
10,8,512,True,True,False,0.75,63.243,42.747,47.946,1559.736,1459.073,6.899
10,16,128,True,True,False,0,22.306,24.370,-8.468,1404.543,1404.543,0.000
10,16,128,True,True,False,0.1,22.306,24.371,-8.473,1404.543,1404.543,0.000
10,16,128,True,True,False,0.2,22.306,24.340,-8.356,1404.543,1404.543,0.000
10,16,128,True,True,False,0.5,22.306,24.345,-8.375,1404.543,1404.543,0.000
10,16,128,True,True,False,0.75,22.306,24.248,-8.008,1404.543,1404.543,0.000
10,16,256,True,True,False,0,51.750,44.792,15.532,1492.660,1459.106,2.300
10,16,256,True,True,False,0.1,51.750,44.501,16.289,1492.660,1459.106,2.300
10,16,256,True,True,False,0.2,51.750,44.237,16.982,1492.660,1459.106,2.300
10,16,256,True,True,False,0.5,51.750,43.100,20.068,1492.660,1459.163,2.296
10,16,256,True,True,False,0.75,51.750,42.844,20.787,1492.660,1459.106,2.300
10,16,512,True,True,False,0,124.059,84.782,46.327,1769.558,1568.231,12.838
10,16,512,True,True,False,0.1,124.059,83.968,47.745,1769.558,1568.231,12.838
10,16,512,True,True,False,0.2,124.059,83.158,49.183,1769.558,1568.231,12.838
10,16,512,True,True,False,0.5,124.059,79.012,57.011,1769.558,1568.444,12.822
10,16,512,True,True,False,0.75,124.059,76.762,61.615,1769.558,1568.231,12.838
10,32,128,True,True,False,0,46.240,44.451,4.027,1459.171,1459.171,0.000
10,32,128,True,True,False,0.1,46.240,44.247,4.504,1459.171,1459.171,0.000
10,32,128,True,True,False,0.2,46.240,43.899,5.333,1459.171,1459.171,0.000
10,32,128,True,True,False,0.5,46.240,43.014,7.500,1459.171,1459.171,0.000
10,32,128,True,True,False,0.75,46.240,42.877,7.843,1459.171,1459.171,0.000
10,32,256,True,True,False,0,101.046,83.750,20.652,1635.406,1568.297,4.279
10,32,256,True,True,False,0.1,101.046,82.895,21.895,1635.406,1568.297,4.279
10,32,256,True,True,False,0.2,101.046,81.881,23.406,1635.406,1568.297,4.279
10,32,256,True,True,False,0.5,101.046,78.834,28.174,1635.406,1568.567,4.261
10,32,256,True,True,False,0.75,101.046,76.627,31.867,1635.406,1568.297,4.279
10,32,512,True,True,False,0,239.482,159.876,49.792,2189.201,1786.882,22.515
10,32,512,True,True,False,0.1,239.482,158.167,51.410,2189.201,1786.548,22.538
10,32,512,True,True,False,0.2,239.482,156.690,52.838,2189.201,1786.548,22.538
10,32,512,True,True,False,0.5,239.482,147.437,62.430,2189.201,1786.548,22.538
10,32,512,True,True,False,0.75,239.482,141.914,68.752,2189.201,1786.548,22.538
10,64,128,True,True,False,0,89.787,83.050,8.113,1568.428,1568.428,0.000
10,64,128,True,True,False,0.1,89.787,82.390,8.979,1568.428,1568.428,0.000
10,64,128,True,True,False,0.2,89.787,81.255,10.501,1568.428,1568.428,0.000
10,64,128,True,True,False,0.5,89.787,78.714,14.068,1568.428,1569.137,-0.045
10,64,128,True,True,False,0.75,89.787,77.154,16.374,1568.428,1568.428,0.000
10,64,256,True,True,False,0,194.109,157.815,22.998,1920.897,1787.359,7.471
10,64,256,True,True,False,0.1,194.109,156.056,24.384,1920.897,1786.679,7.512
10,64,256,True,True,False,0.2,194.109,154.062,25.994,1920.897,1786.679,7.512
10,64,256,True,True,False,0.5,194.109,147.150,31.912,1920.897,1786.679,7.512
10,64,256,True,True,False,0.75,194.109,141.668,37.017,1920.897,1786.679,7.512
10,64,512,True,True,False,0,456.556,292.581,56.044,3028.488,2223.796,36.186
10,64,512,True,True,False,0.1,456.556,289.646,57.625,3028.488,2223.182,36.223
10,64,512,True,True,False,0.2,456.556,286.460,59.379,3028.488,2223.182,36.223
10,64,512,True,True,False,0.5,456.556,268.852,69.817,3028.488,2223.436,36.208
10,64,512,True,True,False,0.75,456.556,257.771,77.117,3028.488,2223.182,36.223
10,128,128,True,True,False,0,173.173,156.206,10.862,1786.941,1786.941,0.000
10,128,128,True,True,False,0.1,173.173,155.010,11.718,1786.941,1786.941,0.000
