num_batches, batch_size, seq_len, is cuda, is half, use mask, pad percentage, Latency eager (ms), Latency BT (ms), Speedup (%), Mem eager (MB), Mem BT (MB), Mem saved (%)
10,1,128,True,True,False,0,4.822,3.968,21.521,457.569,457.569,0.000
10,1,128,True,True,False,0.1,4.822,3.792,27.159,457.569,457.569,0.000
10,1,128,True,True,False,0.2,4.822,3.792,27.142,457.569,457.569,0.000
10,1,128,True,True,False,0.5,4.822,3.792,27.159,457.569,457.569,0.000
10,1,128,True,True,False,0.75,4.822,3.785,27.386,457.569,457.569,0.000
10,1,256,True,True,False,0,4.541,3.579,26.883,460.848,459.274,0.343
10,1,256,True,True,False,0.1,4.541,3.587,26.615,460.848,459.274,0.343
10,1,256,True,True,False,0.2,4.541,3.587,26.615,460.848,459.274,0.343
10,1,256,True,True,False,0.5,4.541,3.578,26.912,460.848,459.274,0.343
10,1,256,True,True,False,0.75,4.541,3.577,26.945,460.848,459.274,0.343
10,1,512,True,True,False,0,4.523,3.579,26.396,473.043,463.605,2.036
10,1,512,True,True,False,0.1,4.523,3.558,27.135,473.043,463.605,2.036
10,1,512,True,True,False,0.2,4.523,3.721,21.575,473.043,463.605,2.036
10,1,512,True,True,False,0.5,4.523,3.561,27.014,473.043,463.605,2.036
10,1,512,True,True,False,0.75,4.523,3.589,26.032,473.043,463.605,2.036
10,2,128,True,True,False,0,4.677,3.478,34.482,459.276,459.275,0.000
10,2,128,True,True,False,0.1,4.677,3.609,29.564,459.276,459.341,-0.014
10,2,128,True,True,False,0.2,4.677,3.631,28.782,459.276,459.341,-0.014
10,2,128,True,True,False,0.5,4.677,3.612,29.476,459.276,459.341,-0.014
10,2,128,True,True,False,0.75,4.677,3.596,30.051,459.276,459.341,-0.014
10,2,256,True,True,False,0,4.671,3.439,35.816,466.754,463.607,0.679
10,2,256,True,True,False,0.1,4.671,3.577,30.567,466.754,463.869,0.622
10,2,256,True,True,False,0.2,4.671,3.588,30.172,466.754,463.869,0.622
10,2,256,True,True,False,0.5,4.671,3.594,29.961,466.754,463.869,0.622
10,2,256,True,True,False,0.75,4.671,3.647,28.070,466.754,463.869,0.622
10,2,512,True,True,False,0,6.336,3.982,59.135,491.146,473.318,3.767
10,2,512,True,True,False,0.1,6.336,3.993,58.682,491.146,473.318,3.767
10,2,512,True,True,False,0.2,6.336,3.984,59.045,491.146,473.318,3.767
10,2,512,True,True,False,0.5,6.336,3.990,58.788,491.146,473.318,3.767
10,2,512,True,True,False,0.75,6.336,3.991,58.771,491.146,473.318,3.767
10,4,128,True,True,False,0,4.679,3.575,30.907,463.608,463.738,-0.028
10,4,128,True,True,False,0.1,4.679,3.584,30.552,463.608,463.738,-0.028
10,4,128,True,True,False,0.2,4.679,3.571,31.038,463.608,463.738,-0.028
10,4,128,True,True,False,0.5,4.679,3.575,30.877,463.608,463.738,-0.028
10,4,128,True,True,False,0.75,4.679,3.560,31.427,463.608,463.738,-0.028
10,4,256,True,True,False,0,5.082,3.777,34.547,478.563,472.794,1.220
10,4,256,True,True,False,0.1,5.082,3.911,29.922,478.563,472.794,1.220
10,4,256,True,True,False,0.2,5.082,3.795,33.901,478.563,472.794,1.220
10,4,256,True,True,False,0.5,5.082,3.784,34.278,478.563,472.794,1.220
10,4,256,True,True,False,0.75,5.082,3.772,34.708,478.563,472.794,1.220
10,4,512,True,True,False,0,11.391,6.934,64.285,527.349,491.955,7.194
10,4,512,True,True,False,0.1,11.391,6.977,63.275,527.349,491.955,7.194
10,4,512,True,True,False,0.2,11.391,6.973,63.351,527.349,491.955,7.194
10,4,512,True,True,False,0.5,11.391,6.958,63.712,527.349,491.955,7.194
10,4,512,True,True,False,0.75,11.391,6.962,63.606,527.349,491.955,7.194
10,8,128,True,True,False,0,4.889,3.792,28.951,472.272,472.532,-0.055
