num_batches, batch_size, seq_len, is cuda, is half, use mask, pad percentage, Latency eager (ms), Latency BT (ms), Speedup (%), Mem eager (MB), Mem BT (MB), Mem saved (%)
10,1,128,True,True,False,0,4.651,8.004,-41.892,464.124,464.124,0.000
10,1,128,True,True,False,0.1,4.651,7.906,-41.166,464.124,464.124,0.000
10,1,128,True,True,False,0.2,4.651,7.900,-41.124,464.124,464.124,0.000
10,1,128,True,True,False,0.5,4.651,7.891,-41.054,464.124,464.124,0.000
10,1,128,True,True,False,0.75,4.651,7.897,-41.101,464.124,464.124,0.000
10,1,256,True,True,False,0,4.444,7.721,-42.444,467.927,466.354,0.337
10,1,256,True,True,False,0.1,4.444,7.732,-42.522,467.927,466.354,0.337
10,1,256,True,True,False,0.2,4.444,7.755,-42.695,467.927,466.354,0.337
10,1,256,True,True,False,0.5,4.444,7.710,-42.361,467.927,466.354,0.337
10,1,256,True,True,False,0.75,4.444,7.703,-42.305,467.927,466.354,0.337
10,1,512,True,True,False,0,4.442,7.756,-42.734,479.596,470.159,2.007
10,1,512,True,True,False,0.1,4.442,7.747,-42.668,479.596,470.159,2.007
10,1,512,True,True,False,0.2,4.442,7.737,-42.587,479.596,470.159,2.007
10,1,512,True,True,False,0.5,4.442,7.717,-42.438,479.596,470.159,2.007
10,1,512,True,True,False,0.75,4.442,7.752,-42.698,479.596,470.159,2.007
10,2,128,True,True,False,0,4.601,7.604,-39.489,466.355,466.355,0.000
10,2,128,True,True,False,0.1,4.601,7.640,-39.777,466.355,466.355,0.000
10,2,128,True,True,False,0.2,4.601,7.662,-39.952,466.355,466.355,0.000
10,2,128,True,True,False,0.5,4.601,7.665,-39.976,466.355,466.355,0.000
10,2,128,True,True,False,0.75,4.601,7.650,-39.853,466.355,466.355,0.000
10,2,256,True,True,False,0,4.853,7.631,-36.406,473.307,470.161,0.669
10,2,256,True,True,False,0.1,4.853,7.668,-36.715,473.307,470.161,0.669
10,2,256,True,True,False,0.2,4.853,7.666,-36.698,473.307,470.161,0.669
10,2,256,True,True,False,0.5,4.853,7.622,-36.329,473.307,470.161,0.669
10,2,256,True,True,False,0.75,4.853,7.628,-36.382,473.307,470.161,0.669
10,2,512,True,True,False,0,6.263,8.087,-22.561,498.220,478.821,4.051
10,2,512,True,True,False,0.1,6.263,8.122,-22.897,498.220,479.345,3.938
10,2,512,True,True,False,0.2,6.263,8.111,-22.791,498.220,479.345,3.938
10,2,512,True,True,False,0.5,6.263,8.137,-23.036,498.220,479.345,3.938
10,2,512,True,True,False,0.75,6.263,8.121,-22.886,498.220,479.345,3.938
10,4,128,True,True,False,0,4.730,7.639,-38.077,470.685,470.161,0.112
10,4,128,True,True,False,0.1,4.730,7.615,-37.880,470.685,470.161,0.112
10,4,128,True,True,False,0.2,4.730,7.668,-38.312,470.685,470.161,0.112
10,4,128,True,True,False,0.5,4.730,7.650,-38.169,470.685,470.161,0.112
10,4,128,True,True,False,0.75,4.730,7.662,-38.261,470.685,470.161,0.112
10,4,256,True,True,False,0,5.055,8.138,-37.889,485.637,478.821,1.423
10,4,256,True,True,False,0.1,5.055,8.118,-37.733,485.637,479.345,1.313
10,4,256,True,True,False,0.2,5.055,8.115,-37.708,485.637,479.345,1.313
10,4,256,True,True,False,0.5,5.055,8.133,-37.846,485.637,479.345,1.313
10,4,256,True,True,False,0.75,5.055,8.070,-37.363,485.637,479.345,1.313
10,4,512,True,True,False,0,11.323,10.107,12.033,533.890,496.141,7.608
10,4,512,True,True,False,0.1,11.323,10.073,12.412,533.890,496.451,7.541
10,4,512,True,True,False,0.2,11.323,10.089,12.237,533.890,496.830,7.459
10,4,512,True,True,False,0.5,11.323,10.081,12.322,533.890,496.141,7.608
10,4,512,True,True,False,0.75,11.323,10.127,11.813,533.890,496.141,7.608
10,8,128,True,True,False,0,4.814,8.115,-40.676,479.345,478.821,0.109
10,8,128,True,True,False,0.1,4.814,8.114,-40.666,479.345,479.345,0.000
10,8,128,True,True,False,0.2,4.814,8.101,-40.573,479.345,479.345,0.000
10,8,128,True,True,False,0.5,4.814,8.150,-40.930,479.345,479.345,0.000
10,8,128,True,True,False,0.75,4.814,8.114,-40.669,479.345,479.345,0.000
10,8,256,True,True,False,0,8.995,10.067,-10.653,508.724,496.191,2.526
10,8,256,True,True,False,0.1,8.995,10.065,-10.632,508.724,496.456,2.471
10,8,256,True,True,False,0.2,8.995,10.077,-10.743,508.724,496.726,2.415
10,8,256,True,True,False,0.5,8.995,10.063,-10.614,508.724,496.141,2.536
10,8,256,True,True,False,0.75,8.995,10.094,-10.894,508.724,496.141,2.536
10,8,512,True,True,False,0,22.228,15.724,41.357,606.278,530.781,14.224
10,8,512,True,True,False,0.1,22.228,15.673,41.824,606.278,530.781,14.224
10,8,512,True,True,False,0.2,22.228,15.586,42.616,606.278,530.781,14.224
10,8,512,True,True,False,0.5,22.228,15.201,46.221,606.278,530.781,14.224
10,8,512,True,True,False,0.75,22.228,15.176,46.463,606.278,530.781,14.224
10,16,128,True,True,False,0,7.761,10.115,-23.273,496.141,496.244,-0.021
10,16,128,True,True,False,0.1,7.761,10.093,-23.102,496.141,496.385,-0.049
10,16,128,True,True,False,0.2,7.761,10.113,-23.257,496.141,496.792,-0.131
10,16,128,True,True,False,0.5,7.761,10.069,-22.919,496.141,496.141,0.000
