num_batches, batch_size, seq_len, is cuda, is half, use mask, pad percentage, Latency eager (ms), Latency BT (ms), Speedup (%), Mem eager (MB), Mem BT (MB), Mem saved (%)
10,1,128,True,True,False,0,8.900,15.754,-43.505,1341.848,1341.848,0.000
10,1,128,True,True,False,0.1,8.900,15.362,-42.063,1341.848,1341.848,0.000
10,1,128,True,True,False,0.2,8.900,15.331,-41.945,1341.848,1341.848,0.000
10,1,128,True,True,False,0.5,8.900,15.339,-41.976,1341.848,1341.848,0.000
10,1,128,True,True,False,0.75,8.900,15.405,-42.224,1341.848,1341.848,0.000
10,1,256,True,True,False,0,8.177,15.018,-45.551,1346.573,1344.476,0.156
10,1,256,True,True,False,0.1,8.177,14.920,-45.193,1346.573,1344.476,0.156
10,1,256,True,True,False,0.2,8.177,14.971,-45.377,1346.573,1344.476,0.156
10,1,256,True,True,False,0.5,8.177,14.946,-45.287,1346.573,1344.476,0.156
10,1,256,True,True,False,0.75,8.177,14.885,-45.062,1346.573,1344.476,0.156
10,1,512,True,True,False,0,8.775,14.856,-40.931,1362.841,1350.258,0.932
10,1,512,True,True,False,0.1,8.775,14.819,-40.785,1362.841,1350.258,0.932
10,1,512,True,True,False,0.2,8.775,14.873,-40.998,1362.841,1350.258,0.932
10,1,512,True,True,False,0.5,8.775,14.756,-40.533,1362.841,1350.258,0.932
10,1,512,True,True,False,0.75,8.775,14.760,-40.547,1362.841,1350.258,0.932
10,2,128,True,True,False,0,8.556,14.989,-42.921,1344.477,1344.477,0.000
10,2,128,True,True,False,0.1,8.556,15.055,-43.170,1344.477,1344.477,0.000
10,2,128,True,True,False,0.2,8.556,14.952,-42.781,1344.477,1344.477,0.000
10,2,128,True,True,False,0.5,8.556,14.990,-42.925,1344.477,1344.477,0.000
10,2,128,True,True,False,0.75,8.556,15.038,-43.107,1344.477,1344.477,0.000
10,2,256,True,True,False,0,8.253,14.662,-43.708,1354.454,1350.260,0.311
10,2,256,True,True,False,0.1,8.253,14.710,-43.894,1354.454,1350.260,0.311
10,2,256,True,True,False,0.2,8.253,14.926,-44.704,1354.454,1350.260,0.311
10,2,256,True,True,False,0.5,8.253,14.786,-44.183,1354.454,1350.260,0.311
10,2,256,True,True,False,0.75,8.253,14.697,-43.844,1354.454,1350.260,0.311
10,2,512,True,True,False,0,16.585,17.970,-7.705,1386.992,1361.826,1.848
10,2,512,True,True,False,0.1,16.585,17.940,-7.552,1386.992,1361.826,1.848
10,2,512,True,True,False,0.2,16.585,18.026,-7.993,1386.992,1361.826,1.848
10,2,512,True,True,False,0.5,16.585,17.914,-7.420,1386.992,1361.826,1.848
10,2,512,True,True,False,0.75,16.585,17.840,-7.034,1386.992,1361.826,1.848
10,4,128,True,True,False,0,8.447,14.860,-43.156,1350.260,1350.260,0.000
10,4,128,True,True,False,0.1,8.447,14.711,-42.581,1350.260,1350.260,0.000
10,4,128,True,True,False,0.2,8.447,14.700,-42.538,1350.260,1350.260,0.000
10,4,128,True,True,False,0.5,8.447,14.818,-42.995,1350.260,1350.260,0.000
10,4,128,True,True,False,0.75,8.447,14.714,-42.592,1350.260,1350.260,0.000
10,4,256,True,True,False,0,13.312,17.891,-25.595,1370.214,1361.826,0.616
10,4,256,True,True,False,0.1,13.312,17.936,-25.780,1370.214,1361.826,0.616
10,4,256,True,True,False,0.2,13.312,17.875,-25.527,1370.214,1361.826,0.616
10,4,256,True,True,False,0.5,13.312,17.995,-26.024,1370.214,1361.826,0.616
10,4,256,True,True,False,0.75,13.312,17.855,-25.442,1370.214,1361.826,0.616
10,4,512,True,True,False,0,31.343,24.836,26.202,1435.290,1384.958,3.634
10,4,512,True,True,False,0.1,31.343,24.824,26.261,1435.290,1384.958,3.634
10,4,512,True,True,False,0.2,31.343,24.904,25.859,1435.290,1384.958,3.634
10,4,512,True,True,False,0.5,31.343,24.815,26.308,1435.290,1384.958,3.634
10,4,512,True,True,False,0.75,31.343,24.756,26.611,1435.290,1384.958,3.634
10,8,128,True,True,False,0,11.547,17.856,-35.330,1361.826,1361.826,0.000
10,8,128,True,True,False,0.1,11.547,17.881,-35.424,1361.826,1361.826,0.000
10,8,128,True,True,False,0.2,11.547,17.863,-35.359,1361.826,1361.826,0.000
10,8,128,True,True,False,0.5,11.547,17.895,-35.474,1361.826,1361.826,0.000
10,8,128,True,True,False,0.75,11.547,17.938,-35.626,1361.826,1361.826,0.000
10,8,256,True,True,False,0,25.229,24.760,1.894,1401.735,1384.958,1.211
10,8,256,True,True,False,0.1,25.229,24.815,1.670,1401.735,1384.958,1.211
10,8,256,True,True,False,0.2,25.229,24.727,2.029,1401.735,1384.958,1.211
10,8,256,True,True,False,0.5,25.229,24.863,1.471,1401.735,1384.958,1.211
10,8,256,True,True,False,0.75,25.229,24.681,2.223,1401.735,1384.958,1.211
10,8,512,True,True,False,0,63.312,45.833,38.135,1531.886,1431.374,7.022
10,8,512,True,True,False,0.1,63.312,45.588,38.879,1531.886,1431.222,7.033
10,8,512,True,True,False,0.2,63.312,45.212,40.032,1531.886,1431.222,7.033
10,8,512,True,True,False,0.5,63.312,43.613,45.165,1531.886,1431.222,7.033
10,8,512,True,True,False,0.75,63.312,43.150,46.724,1531.886,1431.222,7.033
10,16,128,True,True,False,0,22.376,24.836,-9.905,1384.958,1384.958,0.000
10,16,128,True,True,False,0.1,22.376,24.792,-9.742,1384.958,1384.958,0.000
10,16,128,True,True,False,0.2,22.376,24.881,-10.066,1384.958,1384.958,0.000
10,16,128,True,True,False,0.5,22.376,24.748,-9.583,1384.958,1384.958,0.000
10,16,128,True,True,False,0.75,22.376,24.796,-9.759,1384.958,1384.958,0.000
10,16,256,True,True,False,0,51.885,45.136,14.952,1464.777,1431.542,2.322
10,16,256,True,True,False,0.1,51.885,44.836,15.722,1464.777,1431.222,2.344
10,16,256,True,True,False,0.2,51.885,44.491,16.619,1464.777,1431.222,2.344
10,16,256,True,True,False,0.5,51.885,43.388,19.582,1464.777,1431.222,2.344
10,16,256,True,True,False,0.75,51.885,43.125,20.313,1464.777,1431.222,2.344
10,16,512,True,True,False,0,124.348,85.278,45.815,1725.078,1523.751,13.213
10,16,512,True,True,False,0.1,124.348,84.432,47.276,1725.078,1523.751,13.213
10,16,512,True,True,False,0.2,124.348,83.609,48.726,1725.078,1523.751,13.213
10,16,512,True,True,False,0.5,124.348,79.414,56.583,1725.078,1523.751,13.213
10,16,512,True,True,False,0.75,124.348,76.980,61.532,1725.078,1523.751,13.213
10,32,128,True,True,False,0,46.322,44.785,3.433,1431.222,1431.927,-0.049
10,32,128,True,True,False,0.1,46.322,44.483,4.135,1431.222,1431.222,0.000
10,32,128,True,True,False,0.2,46.322,44.133,4.960,1431.222,1431.222,0.000
10,32,128,True,True,False,0.5,46.322,43.318,6.936,1431.222,1431.222,0.000
10,32,128,True,True,False,0.75,46.322,43.321,6.929,1431.222,1431.222,0.000
10,32,256,True,True,False,0,101.314,84.195,20.332,1590.860,1523.751,4.404
10,32,256,True,True,False,0.1,101.314,83.518,21.308,1590.860,1523.751,4.404
10,32,256,True,True,False,0.2,101.314,82.493,22.815,1590.860,1523.751,4.404
10,32,256,True,True,False,0.5,101.314,79.127,28.040,1590.860,1523.751,4.404
10,32,256,True,True,False,0.75,101.314,77.339,30.999,1590.860,1523.751,4.404
10,32,512,True,True,False,0,239.534,160.476,49.265,2111.461,1708.808,23.563
10,32,512,True,True,False,0.1,239.534,158.906,50.740,2111.461,1708.808,23.563
10,32,512,True,True,False,0.2,239.534,157.185,52.390,2111.461,1708.808,23.563
10,32,512,True,True,False,0.5,239.534,148.355,61.460,2111.461,1708.890,23.557
10,32,512,True,True,False,0.75,239.534,142.294,68.338,2111.461,1708.808,23.563
10,64,128,True,True,False,0,90.152,83.569,7.878,1523.751,1523.751,0.000
10,64,128,True,True,False,0.1,90.152,82.896,8.753,1523.751,1523.751,0.000
10,64,128,True,True,False,0.2,90.152,82.124,9.776,1523.751,1523.751,0.000
10,64,128,True,True,False,0.5,90.152,79.299,13.686,1523.751,1523.751,0.000
10,64,128,True,True,False,0.75,90.152,77.672,16.068,1523.751,1523.751,0.000
10,64,256,True,True,False,0,194.521,158.503,22.724,1843.026,1708.808,7.854
10,64,256,True,True,False,0.1,194.521,156.773,24.078,1843.026,1708.808,7.854
10,64,256,True,True,False,0.2,194.521,154.602,25.820,1843.026,1708.808,7.854
10,64,256,True,True,False,0.5,194.521,147.635,31.758,1843.026,1708.808,7.854
10,64,256,True,True,False,0.75,194.521,141.941,37.043,1843.026,1708.808,7.854
10,64,512,True,True,False,0,456.976,293.852,55.513,2884.229,2078.923,38.737
10,64,512,True,True,False,0.1,456.976,290.545,57.282,2884.229,2078.923,38.737
10,64,512,True,True,False,0.2,456.976,287.636,58.873,2884.229,2078.923,38.737
10,64,512,True,True,False,0.5,456.976,270.583,68.886,2884.229,2078.923,38.737
10,64,512,True,True,False,0.75,456.976,258.316,76.906,2884.229,2078.923,38.737
10,128,128,True,True,False,0,173.487,156.950,10.536,1708.808,1708.808,0.000
10,128,128,True,True,False,0.1,173.487,155.778,11.368,1708.808,1708.808,0.000
10,128,128,True,True,False,0.2,173.487,153.708,12.868,1708.808,1708.808,0.000
10,128,128,True,True,False,0.5,173.487,147.906,17.295,1708.808,1708.808,0.000
10,128,128,True,True,False,0.75,173.487,143.102,21.233,1708.808,1708.808,0.000
