num_batches, batch_size, seq_len, is cuda, is half, use mask, pad percentage, Latency eager (ms), Latency BT (ms), Speedup (%), Mem eager (MB), Mem BT (MB), Mem saved (%)
10,1,128,True,True,False,0,4.775,3.793,25.915,464.124,464.124,0.000
10,1,128,True,True,False,0.1,4.775,3.777,26.440,464.124,464.124,0.000
10,1,128,True,True,False,0.2,4.775,3.781,26.303,464.124,464.124,0.000
10,1,128,True,True,False,0.5,4.775,3.762,26.953,464.124,464.124,0.000
10,1,128,True,True,False,0.75,4.775,3.787,26.112,464.124,464.124,0.000
10,1,256,True,True,False,0,4.538,3.574,26.981,467.927,466.354,0.337
10,1,256,True,True,False,0.1,4.538,3.568,27.186,467.927,466.354,0.337
10,1,256,True,True,False,0.2,4.538,3.607,25.821,467.927,466.354,0.337
10,1,256,True,True,False,0.5,4.538,3.582,26.680,467.927,466.354,0.337
10,1,256,True,True,False,0.75,4.538,3.578,26.825,467.927,466.354,0.337
10,1,512,True,True,False,0,4.553,3.587,26.906,479.596,470.158,2.007
10,1,512,True,True,False,0.1,4.553,3.573,27.412,479.596,470.158,2.007
10,1,512,True,True,False,0.2,4.553,3.573,27.412,479.596,470.158,2.007
10,1,512,True,True,False,0.5,4.553,3.584,27.037,479.596,470.158,2.007
10,1,512,True,True,False,0.75,4.553,3.574,27.368,479.596,470.158,2.007
10,2,128,True,True,False,0,4.689,3.465,35.329,466.355,466.355,0.000
10,2,128,True,True,False,0.1,4.689,3.604,30.115,466.355,466.420,-0.014
10,2,128,True,True,False,0.2,4.689,3.590,30.608,466.355,466.420,-0.014
10,2,128,True,True,False,0.5,4.689,3.585,30.795,466.355,466.420,-0.014
10,2,128,True,True,False,0.75,4.689,3.581,30.948,466.355,466.420,-0.014
10,2,256,True,True,False,0,4.682,3.429,36.551,473.307,470.160,0.669
10,2,256,True,True,False,0.1,4.682,3.556,31.668,473.307,470.422,0.613
10,2,256,True,True,False,0.2,4.682,3.560,31.524,473.307,470.422,0.613
10,2,256,True,True,False,0.5,4.682,3.566,31.301,473.307,470.422,0.613
10,2,256,True,True,False,0.75,4.682,3.584,30.652,473.307,470.422,0.613
10,2,512,True,True,False,0,6.262,3.939,59.006,498.220,480.392,3.711
10,2,512,True,True,False,0.1,6.262,3.944,58.796,498.220,480.392,3.711
10,2,512,True,True,False,0.2,6.262,3.958,58.233,498.220,480.392,3.711
10,2,512,True,True,False,0.5,6.262,3.959,58.192,498.220,480.392,3.711
10,2,512,True,True,False,0.75,6.262,3.958,58.212,498.220,480.392,3.711
10,4,128,True,True,False,0,4.679,3.588,30.410,470.685,470.291,0.084
10,4,128,True,True,False,0.1,4.679,3.577,30.813,470.685,470.291,0.084
10,4,128,True,True,False,0.2,4.679,3.579,30.712,470.685,470.291,0.084
10,4,128,True,True,False,0.5,4.679,3.565,31.219,470.685,470.291,0.084
10,4,128,True,True,False,0.75,4.679,3.578,30.775,470.685,470.291,0.084
10,4,256,True,True,False,0,5.061,3.763,34.503,485.637,479.867,1.202
10,4,256,True,True,False,0.1,5.061,3.782,33.814,485.637,479.867,1.202
10,4,256,True,True,False,0.2,5.061,3.758,34.689,485.637,479.867,1.202
10,4,256,True,True,False,0.5,5.061,3.758,34.675,485.637,479.867,1.202
10,4,256,True,True,False,0.75,5.061,3.762,34.536,485.637,479.867,1.202
10,4,512,True,True,False,0,11.370,6.889,65.036,533.890,498.234,7.156
10,4,512,True,True,False,0.1,11.370,6.963,63.283,533.890,498.234,7.156
10,4,512,True,True,False,0.2,11.370,6.958,63.399,533.890,498.234,7.156
10,4,512,True,True,False,0.5,11.370,6.954,63.514,533.890,498.234,7.156
10,4,512,True,True,False,0.75,11.370,6.954,63.502,533.890,498.234,7.156
10,8,128,True,True,False,0,4.902,3.757,30.503,479.345,479.605,-0.054
10,8,128,True,True,False,0.1,4.902,3.765,30.226,479.345,479.605,-0.054
10,8,128,True,True,False,0.2,4.902,3.751,30.681,479.345,479.605,-0.054
10,8,128,True,True,False,0.5,4.902,3.762,30.297,479.345,479.605,-0.054
10,8,128,True,True,False,0.75,4.902,3.767,30.138,479.345,479.605,-0.054
10,8,256,True,True,False,0,9.074,6.395,41.886,508.724,497.185,2.321
10,8,256,True,True,False,0.1,9.074,6.480,40.022,508.724,497.185,2.321
10,8,256,True,True,False,0.2,9.074,6.483,39.949,508.724,497.185,2.321
10,8,256,True,True,False,0.5,9.074,6.478,40.073,508.724,497.185,2.321
10,8,256,True,True,False,0.75,9.074,6.484,39.941,508.724,497.185,2.321
10,8,512,True,True,False,0,22.418,13.786,62.620,606.278,534.967,13.330
10,8,512,True,True,False,0.1,22.418,13.831,62.091,606.278,534.967,13.330
10,8,512,True,True,False,0.2,22.418,13.831,62.082,606.278,534.967,13.330
10,8,512,True,True,False,0.5,22.418,13.863,61.711,606.278,534.967,13.330
10,8,512,True,True,False,0.75,22.418,13.800,62.449,606.278,534.967,13.330
10,16,128,True,True,False,0,7.901,6.426,22.961,496.141,496.661,-0.105
10,16,128,True,True,False,0.1,7.901,6.263,26.166,496.141,496.661,-0.105
10,16,128,True,True,False,0.2,7.901,6.246,26.510,496.141,496.661,-0.105
10,16,128,True,True,False,0.5,7.901,6.251,26.402,496.141,496.661,-0.105
10,16,128,True,True,False,0.75,7.901,6.258,26.267,496.141,496.661,-0.105
10,16,256,True,True,False,0,18.049,12.861,40.334,555.946,532.870,4.331
10,16,256,True,True,False,0.1,18.049,12.914,39.766,555.946,532.870,4.331
10,16,256,True,True,False,0.2,18.049,12.892,39.998,555.946,532.870,4.331
10,16,256,True,True,False,0.5,18.049,12.887,40.053,555.946,532.870,4.331
10,16,256,True,True,False,0.75,18.049,13.027,38.552,555.946,532.870,4.331
10,16,512,True,True,False,0,42.894,25.814,66.164,751.055,608.433,23.441
10,16,512,True,True,False,0.1,42.894,25.740,66.640,751.055,608.433,23.441
10,16,512,True,True,False,0.2,42.894,25.832,66.047,751.055,608.433,23.441
10,16,512,True,True,False,0.5,42.894,25.870,65.807,751.055,608.433,23.441
10,16,512,True,True,False,0.75,42.894,25.714,66.808,751.055,608.433,23.441
10,32,128,True,True,False,0,15.835,12.576,25.921,530.781,531.821,-0.196
10,32,128,True,True,False,0.1,15.835,12.550,26.180,530.781,531.821,-0.196
10,32,128,True,True,False,0.2,15.835,12.561,26.070,530.781,531.821,-0.196
10,32,128,True,True,False,0.5,15.835,12.592,25.753,530.781,531.821,-0.196
10,32,128,True,True,False,0.75,15.835,12.555,26.125,530.781,531.821,-0.196
10,32,256,True,True,False,0,34.165,24.045,42.087,650.392,604.238,7.638
10,32,256,True,True,False,0.1,34.165,24.013,42.276,650.392,604.238,7.638
10,32,256,True,True,False,0.2,34.165,24.055,42.032,650.392,604.238,7.638
10,32,256,True,True,False,0.5,34.165,24.005,42.323,650.392,604.238,7.638
10,32,256,True,True,False,0.75,34.165,24.022,42.224,650.392,604.238,7.638
10,32,512,True,True,False,0,80.442,47.219,70.358,1040.610,755.364,37.763
10,32,512,True,True,False,0.1,80.442,47.102,70.784,1040.610,755.364,37.763
10,32,512,True,True,False,0.2,80.442,47.171,70.534,1040.610,755.364,37.763
10,32,512,True,True,False,0.5,80.442,47.030,71.043,1040.610,755.364,37.763
10,32,512,True,True,False,0.75,80.442,47.031,71.041,1040.610,755.364,37.763
10,64,128,True,True,False,0,29.909,23.350,28.091,600.060,602.141,-0.346
10,64,128,True,True,False,0.1,29.909,23.403,27.799,600.060,602.141,-0.346
10,64,128,True,True,False,0.2,29.909,23.406,27.784,600.060,602.141,-0.346
10,64,128,True,True,False,0.5,29.909,23.435,27.628,600.060,602.141,-0.346
10,64,128,True,True,False,0.75,29.909,23.336,28.167,600.060,602.141,-0.346
10,64,256,True,True,False,0,63.174,43.650,44.728,839.283,746.976,12.357
10,64,256,True,True,False,0.1,63.174,43.506,45.207,839.283,746.976,12.357
10,64,256,True,True,False,0.2,63.174,43.612,44.855,839.283,746.976,12.357
10,64,256,True,True,False,0.5,63.174,43.558,45.034,839.283,746.976,12.357
10,64,256,True,True,False,0.75,63.174,43.544,45.081,839.283,746.976,12.357
10,64,512,True,True,False,0,158.501,91.547,73.137,1619.719,1049.228,54.372
10,64,512,True,True,False,0.1,158.501,91.542,73.146,1619.719,1049.228,54.372
10,64,512,True,True,False,0.2,158.501,91.515,73.196,1619.719,1049.228,54.372
10,64,512,True,True,False,0.5,158.501,91.341,73.526,1619.719,1049.228,54.372
10,64,512,True,True,False,0.75,158.501,91.253,73.693,1619.719,1049.228,54.372
10,128,128,True,True,False,0,54.915,42.136,30.329,738.620,742.782,-0.560
10,128,128,True,True,False,0.1,54.915,42.311,29.790,738.620,742.782,-0.560
10,128,128,True,True,False,0.2,54.915,42.146,30.299,738.620,742.782,-0.560
10,128,128,True,True,False,0.5,54.915,42.321,29.760,738.620,742.782,-0.560
10,128,128,True,True,False,0.75,54.915,42.035,30.642,738.620,742.782,-0.560
10,128,256,True,True,False,0,123.794,84.352,46.758,1217.066,1032.451,17.881
10,128,256,True,True,False,0.1,123.794,84.430,46.624,1217.066,1032.451,17.881
10,128,256,True,True,False,0.2,123.794,84.309,46.833,1217.066,1032.451,17.881
10,128,256,True,True,False,0.5,123.794,84.500,46.502,1217.066,1032.451,17.881
10,128,256,True,True,False,0.75,123.794,84.178,47.063,1217.066,1032.451,17.881
10,128,512,True,True,False,0,313.503,179.656,74.502,2777.937,1636.955,69.701
10,128,512,True,True,False,0.1,313.503,179.762,74.398,2777.937,1636.955,69.701
10,128,512,True,True,False,0.2,313.503,179.597,74.559,2777.937,1636.955,69.701
10,128,512,True,True,False,0.5,313.503,179.371,74.779,2777.937,1636.955,69.701
10,128,512,True,True,False,0.75,313.503,179.310,74.838,2777.937,1636.955,69.701
