num_batches, batch_size, seq_len, is cuda, is half, use mask, pad percentage, Latency eager (ms), Latency BT (ms), Speedup (%), Mem eager (MB), Mem BT (MB), Mem saved (%)
10,1,128,True,True,False,0,8.529,6.577,29.686,1341.848,1341.847,0.000
10,1,128,True,True,False,0.1,8.529,6.519,30.827,1341.848,1341.847,0.000
10,1,128,True,True,False,0.2,8.529,6.506,31.086,1341.848,1341.847,0.000
10,1,128,True,True,False,0.5,8.529,6.531,30.589,1341.848,1341.847,0.000
10,1,128,True,True,False,0.75,8.529,6.506,31.092,1341.848,1341.847,0.000
10,1,256,True,True,False,0,8.054,6.146,31.044,1346.573,1344.475,0.156
10,1,256,True,True,False,0.1,8.054,6.138,31.215,1346.573,1344.475,0.156
10,1,256,True,True,False,0.2,8.054,6.137,31.225,1346.573,1344.475,0.156
10,1,256,True,True,False,0.5,8.054,6.114,31.720,1346.573,1344.475,0.156
10,1,256,True,True,False,0.75,8.054,6.153,30.889,1346.573,1344.475,0.156
10,1,512,True,True,False,0,8.813,6.009,46.668,1362.841,1350.257,0.932
10,1,512,True,True,False,0.1,8.813,6.121,43.994,1362.841,1350.257,0.932
10,1,512,True,True,False,0.2,8.813,6.110,44.240,1362.841,1350.257,0.932
10,1,512,True,True,False,0.5,8.813,6.117,44.073,1362.841,1350.257,0.932
10,1,512,True,True,False,0.75,8.813,6.117,44.085,1362.841,1350.257,0.932
10,2,128,True,True,False,0,8.462,6.072,39.357,1344.477,1344.476,0.000
10,2,128,True,True,False,0.1,8.462,6.216,36.122,1344.477,1344.542,-0.005
10,2,128,True,True,False,0.2,8.462,6.209,36.273,1344.477,1344.542,-0.005
10,2,128,True,True,False,0.5,8.462,6.187,36.769,1344.477,1344.542,-0.005
10,2,128,True,True,False,0.75,8.462,6.203,36.405,1344.477,1344.542,-0.005
10,2,256,True,True,False,0,8.233,5.836,41.060,1354.454,1350.259,0.311
10,2,256,True,True,False,0.1,8.233,5.991,37.413,1354.454,1350.521,0.291
10,2,256,True,True,False,0.2,8.233,6.003,37.136,1354.454,1350.521,0.291
10,2,256,True,True,False,0.5,8.233,5.991,37.424,1354.454,1350.521,0.291
10,2,256,True,True,False,0.75,8.233,6.004,37.127,1354.454,1350.521,0.291
10,2,512,True,True,False,0,16.797,10.687,57.174,1386.992,1362.872,1.770
10,2,512,True,True,False,0.1,16.797,10.726,56.599,1386.992,1362.872,1.770
10,2,512,True,True,False,0.2,16.797,10.686,57.196,1386.992,1362.872,1.770
10,2,512,True,True,False,0.5,16.797,10.657,57.619,1386.992,1362.872,1.770
10,2,512,True,True,False,0.75,16.797,10.786,55.728,1386.992,1362.872,1.770
10,4,128,True,True,False,0,8.181,5.971,37.009,1350.260,1350.390,-0.010
10,4,128,True,True,False,0.1,8.181,5.997,36.406,1350.260,1350.390,-0.010
10,4,128,True,True,False,0.2,8.181,6.031,35.655,1350.260,1350.390,-0.010
